DAuid,DApop_2016,DAtdwell_2016,DAurdwell_2016,DAarea,CSDcode
35061056,710,224,221,0.1626,008
35061057,194,91,85,0.0632,008
35061067,536,266,233,4.7322,008
35061069,351,134,124,0.0784,008
35061070,586,296,284,0.1946,008
35061071,553,305,281,0.0793,008
35061072,462,204,198,0.1678,008
35061073,566,210,198,0.0717,008
35061074,459,209,207,0.1656,008
35061075,431,386,336,0.0325,008
35061076,475,230,219,0.1086,008
35061077,546,261,257,0.1558,008
35061078,619,225,206,0.9228,008
35061079,493,299,244,0.0627,008
35061080,519,257,217,0.0338,008
35061081,724,343,300,0.0344,008
35061082,485,285,234,0.0417,008
35061083,599,296,276,0.1036,008
35061084,504,273,208,0.0676,008
35061085,394,160,137,0.0698,008
35061086,811,437,406,0.1825,008
35061087,564,263,261,0.1642,008
35061089,667,237,236,0.198,008
35061090,575,179,171,0.4839,008
35061091,461,196,185,0.1931,008
35061092,537,185,180,0.3061,008
35061094,650,263,259,0.1955,008
35061097,433,154,150,0.4521,008
35061098,874,389,377,0.1053,008
35061100,441,164,159,0.1407,008
35061101,348,154,147,0.1572,008
35061102,442,175,170,0.1348,008
35061103,322,139,132,0.1259,008
35061104,1329,554,516,0.2398,008
35061105,703,348,325,0.1658,008
35061106,500,212,208,0.1744,008
35061107,525,182,168,0.0544,008
35061108,329,92,87,0.0444,008
35061113,860,320,315,59.7563,008
35061114,447,174,167,1.4864,008
35061115,439,168,165,7.985,008
35061116,294,114,110,0.7943,008
35061117,626,212,210,3.8712,008
35061118,569,206,203,18.3835,008
35061119,868,295,291,9.1474,008
35061120,352,153,147,4.0126,008
35061121,294,120,114,14.9612,008
35061122,646,228,222,35.2007,008
35061123,644,230,227,24.643,008
35061124,868,327,317,37.7317,008
35061125,288,132,122,15.1558,008
35061126,374,136,132,7.1045,008
35061127,760,274,266,6.1343,008
35061128,458,155,151,2.301,008
35061129,404,159,159,8.4835,008
35061130,596,215,215,4.1723,008
35061131,771,291,286,52.2591,008
35061132,465,179,167,21.5545,008
35061133,794,344,316,103.3754,008
35061134,639,240,239,107.81,008
35061135,662,245,237,46.6259,008
35061136,420,147,145,0.254,008
35061137,450,162,159,8.3478,008
35061138,372,133,133,4.2843,008
35061140,1160,444,435,51.8741,008
35061141,748,277,273,39.7951,008
35061142,311,131,128,16.6063,008
35061143,575,212,207,4.1685,008
35061144,409,171,168,0.498,008
35061145,362,146,146,0.3103,008
35061146,423,184,171,0.3336,008
35061147,1006,429,415,3.1303,008
35061148,1268,410,404,2.3718,008
35061149,790,282,276,1.2332,008
35061150,750,252,252,0.2234,008
35061151,555,180,180,0.1033,008
35061152,349,118,118,0.0533,008
35061153,307,101,101,0.0907,008
35061154,519,190,190,0.1636,008
35061155,436,157,157,0.0718,008
35061156,382,139,139,0.0756,008
35061157,438,137,137,0.086,008
35061158,521,197,194,0.087,008
35061159,705,356,347,0.2841,008
35061160,711,333,280,16.5403,008
35061161,648,260,253,26.2488,008
35061171,409,125,125,0.0845,008
35061174,365,207,195,0.1209,008
35061175,466,244,232,0.1149,008
35061178,575,218,213,0.2345,008
35061179,554,239,224,0.213,008
35061180,532,291,282,0.1173,008
35061181,534,230,225,0.1213,008
35061182,592,337,330,0.0897,008
35061183,518,194,189,0.1746,008
35061184,509,220,219,0.1518,008
35061185,554,236,234,0.1282,008
35061186,508,159,157,0.1478,008
35061188,549,244,228,0.1789,008
35061189,753,523,485,0.2284,008
35061190,1596,1183,1153,0.0871,008
35061191,549,355,333,0.1031,008
35061192,718,390,361,0.4805,008
35061193,610,295,283,0.2987,008
35061194,419,174,166,0.1782,008
35061195,489,223,200,0.1026,008
35061196,477,343,324,0.0562,008
35061197,797,401,382,0.0802,008
35061198,435,182,180,0.2054,008
35061201,1080,570,531,0.2226,008
35061202,257,101,97,0.0833,008
35061203,604,210,209,0.0906,008
35061204,1175,359,340,0.0629,008
35061208,553,216,213,0.4211,008
35061209,408,160,160,0.1368,008
35061210,440,167,166,0.216,008
35061213,555,207,207,0.1286,008
35061214,560,235,235,0.2451,008
35061215,297,107,107,0.1276,008
35061222,1158,519,315,0.4389,008
35061225,504,350,200,0.0588,008
35061227,365,152,148,0.2464,008
35061228,469,175,172,0.1329,008
35061229,563,205,205,0.223,008
35061230,417,161,160,0.1376,008
35061231,808,333,324,0.1188,008
35061232,526,206,201,0.2133,008
35061233,368,140,137,0.08,008
35061234,398,154,148,0.122,008
35061235,691,298,288,0.2427,008
35061236,1058,400,393,0.1855,008
35061237,261,97,97,0.0801,008
35061238,455,162,161,0.1359,008
35061239,526,199,194,0.1661,008
35061240,892,337,336,0.3691,008
35061241,236,87,87,0.0652,008
35061242,390,154,154,0.1499,008
35061243,578,238,229,0.1238,008
35061247,984,495,476,0.2994,008
35061248,970,327,318,0.8947,008
35061249,1092,416,397,0.7614,008
35061250,1359,479,417,0.0686,008
35061251,659,287,274,0.168,008
35061252,1453,1093,882,0.3779,008
35061253,986,657,610,0.069,008
35061254,969,386,371,0.0835,008
35061256,752,524,477,0.1851,008
35061257,1380,852,820,0.3758,008
35061261,940,609,565,0.104,008
35061263,807,471,389,0.1208,008
35061264,1185,423,420,0.2984,008
35061266,1342,516,512,0.3626,008
35061267,497,216,205,0.1191,008
35061268,1372,516,510,0.6576,008
35061269,1131,489,471,0.2014,008
35061270,1109,441,426,0.2427,008
35061271,1071,476,470,0.3265,008
35061272,1182,414,414,0.3342,008
35061273,1200,460,460,0.4597,008
35061279,1491,925,906,0.2488,008
35061280,1014,469,436,0.313,008
35061281,1208,720,713,0.0787,008
35061282,1737,773,744,0.2778,008
35061284,1199,636,583,0.2434,008
35061285,840,143,133,0.1064,008
35061286,1128,423,423,0.3025,008
35061287,1045,470,450,0.4192,008
35061288,523,190,187,0.2085,008
35061289,613,259,217,0.1238,008
35061290,475,176,176,0.1438,008
35061291,515,216,211,0.2103,008
35061292,538,250,234,0.1411,008
35061293,573,301,282,1.4848,008
35061294,525,192,190,0.1752,008
35061295,424,172,168,0.1438,008
35061296,806,260,260,0.2476,008
35061297,450,171,171,0.0654,008
35061298,786,318,312,1.1332,008
35061299,1038,492,462,0.6387,008
35061300,320,247,176,0.0403,008
35061301,555,289,255,0.0268,008
35061302,268,100,97,0.0336,008
35061303,807,336,323,0.1181,008
35061304,806,263,263,0.5041,008
35061305,368,111,111,0.096,008
35061306,303,94,94,0.0997,008
35061307,502,236,227,0.1601,008
35061308,1259,655,625,0.908,008
35061309,432,139,139,0.1135,008
35061310,735,247,247,0.233,008
35061311,1270,382,377,0.2828,008
35061312,562,211,211,0.1561,008
35061313,431,148,148,0.0634,008
35061314,625,213,213,0.1957,008
35061315,761,229,225,0.7038,008
35061316,367,118,117,0.0822,008
35061317,465,130,126,0.1963,008
35061318,200,57,56,0.0449,008
35061319,690,476,445,0.1536,008
35061320,665,278,262,0.0541,008
35061321,289,171,148,0.0203,008
35061322,1498,954,867,0.1556,008
35061323,697,254,250,0.4034,008
35061325,1645,641,566,4.1036,008
35061326,457,155,155,0.1345,008
35061327,401,123,122,0.0913,008
35061328,543,173,173,0.108,008
35061329,509,144,143,0.1445,008
35061331,385,150,150,0.1001,008
35061332,471,159,159,0.1017,008
35061333,736,322,312,1.6122,008
35061334,314,127,125,0.1021,008
35061335,395,168,164,0.1918,008
35061336,658,310,292,0.0726,008
35061337,996,497,478,0.0336,008
35061338,598,340,300,0.6954,008
35061339,109,57,56,1.4789,008
35061340,996,371,353,0.2513,008
35061341,581,331,310,2.8635,008
35061342,0,0,0,0.1797,008
35061343,466,250,222,0.0718,008
35061344,254,64,62,0.0224,008
35061345,345,159,150,0.0345,008
35061346,495,233,224,0.0686,008
35061347,257,56,51,0.0683,008
35061348,359,132,128,0.0806,008
35061349,351,153,151,0.0598,008
35061350,561,250,246,0.1131,008
35061351,621,231,222,0.1766,008
35061352,415,174,167,0.1246,008
35061354,426,178,164,0.0813,008
35061355,345,131,128,0.0729,008
35061356,505,189,183,0.1255,008
35061357,610,179,175,0.1128,008
35061358,820,305,299,0.3556,008
35061361,363,129,120,0.3249,008
35061362,1646,592,466,0.1297,008
35061363,241,75,73,0.0537,008
35061364,385,116,111,0.0631,008
35061365,352,115,115,0.0454,008
35061366,734,364,353,0.2741,008
35061367,517,282,229,1.9095,008
35061368,367,159,151,1.3579,008
35061369,654,338,262,1.0994,008
35061370,375,157,146,0.8008,008
35061371,1205,572,483,19.8462,008
35061372,401,183,171,0.3943,008
35061373,449,163,161,5.2193,008
35061374,606,225,221,5.3462,008
35061375,582,185,183,12.6679,008
35061376,538,211,203,25.4615,008
35061377,473,175,166,10.675,008
35061378,892,278,271,18.9361,008
35061379,1041,335,333,6.2009,008
35061380,901,339,338,1.8418,008
35061381,780,303,296,15.8196,008
35061382,665,238,230,16.4729,008
35061383,638,192,191,10.3893,008
35061384,526,167,164,3.7946,008
35061385,511,171,171,19.1561,008
35061386,671,259,248,47.1377,008
35061387,3199,1261,1151,0.6835,008
35061388,2576,1045,978,0.2215,008
35061389,1423,583,560,0.1873,008
35061390,294,174,163,0.1203,008
35061391,5,1,1,16.9782,008
35061392,2087,687,671,0.9487,008
35061393,328,112,112,0.0626,008
35061394,526,175,174,0.0718,008
35061395,494,162,160,0.0834,008
35061396,429,143,140,0.0587,008
35061397,1224,425,409,0.3209,008
35061398,394,149,149,0.1344,008
35061399,251,78,78,0.0394,008
35061400,534,179,179,0.0874,008
35061401,491,159,159,0.1069,008
35061402,1158,417,408,0.5601,008
35061403,757,224,219,0.1025,008
35061404,736,198,197,0.1045,008
35061406,789,242,233,0.0937,008
35061410,650,194,194,0.144,008
35061411,1297,425,419,0.2375,008
35061412,541,184,180,0.1002,008
35061413,448,171,169,0.0724,008
35061414,666,225,225,0.1032,008
35061415,604,192,191,0.185,008
35061416,524,169,169,0.077,008
35061417,479,141,140,0.0888,008
35061418,617,157,157,0.095,008
35061419,569,172,171,0.1065,008
35061420,450,170,170,0.0793,008
35061421,507,164,163,0.092,008
35061422,583,176,176,0.0801,008
35061423,501,177,175,0.1152,008
35061424,542,170,169,0.1632,008
35061426,606,173,172,2.7428,008
35061427,513,138,138,0.0992,008
35061428,370,115,114,0.076,008
35061432,2330,873,851,14.4912,008
35061442,553,222,209,23.8549,008
35061443,1089,367,355,4.3557,008
35061444,1517,535,526,3.0197,008
35061445,363,124,124,0.3894,008
35061446,1406,464,454,8.6307,008
35061447,1816,591,583,6.5608,008
35061448,1091,389,381,17.0738,008
35061449,344,123,123,0.4622,008
35061450,615,227,224,3.4221,008
35061451,465,156,155,1.0041,008
35061452,355,139,133,0.4225,008
35061453,579,222,218,16.8119,008
35061454,833,284,279,12.694,008
35061455,430,167,167,8.2345,008
35061456,431,141,141,0.4392,008
35061457,427,185,184,0.4754,008
35061458,611,216,215,4.7635,008
35061459,657,235,230,15.2488,008
35061460,599,194,189,35.6208,008
35061461,455,163,160,28.6629,008
35061462,616,230,224,18.6025,008
35061463,571,202,202,40.4537,008
35061464,374,122,120,0.3588,008
35061465,331,127,126,0.3411,008
35061466,464,179,178,0.6089,008
35061467,387,132,132,0.4187,008
35061468,416,143,139,4.7296,008
35061469,407,156,151,1.7946,008
35061470,425,159,156,3.2188,008
35061471,479,187,180,2.7239,008
